bolt_name,"Diameter, mm.","Hole Diameter, mm.","Min. Washer Dimension, mm.","Min. Washer Thickness, mm.",diam. mm.,Socket. mm.,Open to side. mm.,Open to corner. mm.
3/4,19.05,33.3375,50.8,6.35,19.05,28.58,41.28,31.75
7/8,22.225,39.6875,63.5,7.9375,22.23,31.75,47.63,41.28
1,25.4,46.0375,76.20,9.525,25.4,34.93,53.98,47.63
1-1/4,31.75,52.3875,76.20,12.7,31.75,41.28,63.5,50.8
1-1/2,38.10,58.7375,88.90,12.7,38.1,47.63,73.03,63.5
1-3/4,44.45,69.85,101.6,15.875,44.45,55.56,84.46,66.68
2,50.8,82.55,127.0,19.05,50.8,63.5,96.52,76.2
2-1/2,63.5,82.55,139.7,22.225,63.5,79.38,120.65,95.25
